ZIPCODE,ZIP_TOTAL_PEOPLE,ZIP_AUDIENCE_PEOPLE,ZIP_TARGET_DENSITY,CUMULATIVE_REACH
20818,1748,292,0.167048,292
20812,294,42,0.142857,334
20015,15009,1802,0.120061,2136
20816,16085,1817,0.112962,3953
20004,1410,150,0.106383,4103
20815,29457,2894,0.098245,6997
94946,493,44,0.089249,7041
20016,25187,2118,0.084091,9159
20003,33506,2693,0.080374,11852
20008,25098,1975,0.078692,13827
94028,6303,490,0.077741,14317
94707,12584,923,0.073347,15240
22207,28497,2027,0.071130,17267
94708,10963,769,0.070145,18036
20036,4307,302,0.070118,18338
20817,35573,2469,0.069407,20807
20037,7952,543,0.068285,21350
20007,21045,1391,0.066096,22741
22213,3097,202,0.065224,22943
22301,12641,814,0.064394,23757
02462,1260,81,0.064286,23838
20005,10317,643,0.062324,24481
02468,5005,311,0.062138,24792
90067,2724,166,0.060940,24958
20009,42180,2499,0.059246,27457
22302,15689,929,0.059213,28386
20002,61169,3618,0.059148,32004
22101,28090,1648,0.058669,33652
94027,5970,344,0.057621,33996
19035,3894,220,0.056497,34216
22308,12156,676,0.055610,34892
94305,5070,280,0.055227,35172
22305,10775,595,0.055220,35767
22205,15238,836,0.054863,36603
20001,38675,2076,0.053678,38679
20912,17606,929,0.052766,39608
94705,12055,636,0.052758,40244
01773,5374,278,0.051731,40522
20896,1046,54,0.051625,40576
22307,9459,483,0.051062,41059
20024,15056,768,0.051010,41827
20814,28613,1442,0.050397,43269
20895,18420,916,0.049729,44185
94618,14923,739,0.049521,44924
20012,13519,666,0.049264,45590
19066,5308,261,0.049171,45851
94937,958,47,0.049061,45898
22314,36621,1764,0.048169,47662
60022,7653,368,0.048086,48030
81654,1123,54,0.048085,48084
94111,3009,143,0.047524,48227
94920,11116,528,0.047499,48755
94939,6211,290,0.046691,49045
22201,33248,1454,0.043732,50499
22202,22328,971,0.043488,51470
44040,3234,140,0.043290,51610
20910,36697,1535,0.041829,53145
22046,15384,640,0.041602,53785
22209,12726,526,0.041333,54311
90402,10689,431,0.040322,54742
94304,2535,102,0.040237,54844
21210,10238,400,0.039070,55244
94301,13684,533,0.038951,55777
19041,6952,269,0.038694,56046
22206,17396,670,0.038515,56716
20010,23942,905,0.037800,57621
22044,8910,327,0.036700,57948
20854,48513,1755,0.036176,59703
20017,17187,619,0.036016,60322
20011,51956,1818,0.034991,62140
22203,20962,721,0.034396,62861
60602,1091,37,0.033914,62898
78703,18609,624,0.033532,63522
21654,1320,43,0.032576,63565
02466,5985,188,0.031412,63753
27608,10416,326,0.031298,64079
19118,8710,270,0.030999,64349
77005,23119,716,0.030970,65065
95030,11609,356,0.030666,65421
19807,8736,264,0.030220,65685
22043,18411,554,0.030091,66239
22204,36765,1096,0.029811,67335
87501,15743,467,0.029664,67802
22066,17036,500,0.029350,68302
02138,23075,666,0.028862,68968
94114,27852,803,0.028831,69771
22181,12676,365,0.028795,70136
20901,28571,822,0.028770,70958
20018,18844,536,0.028444,71494
60043,2183,62,0.028401,71556
90210,17856,505,0.028282,72061
02535,1811,51,0.028161,72112
22180,21508,591,0.027478,72703
20781,8185,218,0.026634,72921
20852,37530,990,0.026379,73911
22039,17180,451,0.026251,74362
94022,17608,461,0.026181,74823
22310,23772,619,0.026039,75442
98039,2693,70,0.025993,75512
03750,854,22,0.025761,75534
92091,2634,67,0.025437,75601
90077,8001,202,0.025247,75803
22304,36294,916,0.025238,76719
94957,1820,45,0.024725,76764
22027,1923,47,0.024441,76811
22303,12839,313,0.024379,77124
02108,3252,79,0.024293,77203
01741,4758,115,0.024170,77318
22102,23190,558,0.024062,77876
06794,1088,26,0.023897,77902
22182,23563,562,0.023851,78464
20189,3934,92,0.023386,78556
22124,15897,368,0.023149,78924
20712,5359,124,0.023139,79048
22315,23570,541,0.022953,79589
92662,2452,56,0.022838,79645
20194,11825,267,0.022579,79912
01742,16271,367,0.022555,80279
22041,16906,381,0.022536,80660
90049,30314,676,0.022300,81336
78746,24496,546,0.022289,81882
22311,12090,267,0.022084,82149
22042,23809,523,0.021966,82672
02199,964,21,0.021784,82693
72207,9342,203,0.021730,82896
94131,23112,501,0.021677,83397
94563,17430,374,0.021457,83771
20902,36990,788,0.021303,84559
22003,40986,869,0.021202,85428
60093,18097,382,0.021108,85810
94611,34845,729,0.020921,86539
94941,26524,549,0.020698,87088
20782,21173,436,0.020592,87524
06068,1572,32,0.020356,87556
22306,21520,438,0.020353,87994
94306,21068,427,0.020268,88421
22309,23211,470,0.020249,88891
19106,12459,251,0.020146,89142
30327,22768,456,0.020028,89598
22032,25380,508,0.020016,90106
07043,11902,236,0.019829,90342
