ZIPCODE,ZIP_TOTAL_PEOPLE,ZIP_AUDIENCE_PEOPLE,ZIP_TARGET_DENSITY,CUMULATIVE_REACH
32967,26946,40,0.001484,1149447
34994,15691,23,0.001466,1149508
33991,25262,74,0.002929,1141071
77433,82922,26,0.000314,1160834
17070,14032,1992,0.141961,602038
28036,20677,31,0.001499,1149295
33545,25903,38,0.001467,1149485
33928,31798,108,0.003396,1139716
34747,26601,50,0.001880,1147164
18235,15643,308,0.019689,1114429
18067,16549,2511,0.151731,533964
19464,38606,5547,0.143682,591879
44720,34864,21,0.000602,1159132
34228,9341,22,0.002355,1144047
34480,20117,22,0.001094,1153066
49431,16569,127,0.007665,1133466
49913,6946,455,0.065505,962088
54868,12747,81,0.006354,1135050
53186,26435,829,0.031360,1078241
34684,26011,30,0.001153,1152273
17847,8746,477,0.054539,1005032
44035,51218,30,0.000586,1159320
32746,39344,31,0.000788,1156996
49341,34860,874,0.025072,1100404
48080,21789,328,0.015053,1123532
53126,6338,207,0.032660,1072995
18433,5451,360,0.066043,959144
17552,16897,2976,0.176126,371213
18042,32235,2737,0.084908,883595
15022,7757,425,0.054789,1002200
08094,36241,36,0.000993,1154417
19017,249,57,0.228916,65121
17976,4169,179,0.042936,1042138
17572,2221,70,0.031517,1075483
15051,345,46,0.133333,653292
34652,24148,47,0.001946,1146891
16652,11751,219,0.018637,1115798
17901,18167,1356,0.074641,923160
17872,6833,842,0.123226,701938
15675,754,163,0.216180,144858
17857,6086,318,0.052251,1011780
15477,570,104,0.182456,302815
19555,2961,59,0.019926,1113033
15056,931,133,0.142857,595673
15367,8328,2232,0.268012,10573
08062,15117,27,0.001786,1147581
15619,258,61,0.236434,46557
33990,28150,55,0.001954,1146812
46530,28418,114,0.004012,1138170
33570,29005,28,0.000965,1154668
34474,14817,37,0.002497,1143221
34134,17264,70,0.004055,1138056
34293,54629,172,0.003149,1140556
53217,28186,95,0.003370,1139811
16117,13207,227,0.017188,1119460
49440,1592,52,0.032663,1072788
49464,24478,4465,0.182409,307280
43551,36907,88,0.002384,1144025
34109,24534,53,0.002160,1145228
49855,28089,246,0.008758,1132519
19010,18450,148,0.008022,1133230
18054,4044,167,0.041296,1044510
49509,22424,464,0.020692,1111006
19475,9662,1722,0.178224,349629
15076,705,70,0.099291,810238
33903,21681,76,0.003505,1139413
32962,24072,34,0.001412,1149975
32084,33972,23,0.000677,1158195
33912,19642,68,0.003462,1139505
16506,20150,3284,0.162978,456907
34114,25469,27,0.001060,1153542
75078,35742,28,0.000783,1157024
48386,17163,3807,0.221814,78558
48509,9165,1797,0.196072,217196
49417,30564,1696,0.055490,1000173
54942,8423,688,0.081681,893181
53017,5279,158,0.029930,1083396
53402,27910,233,0.008348,1133082
53121,15718,40,0.002545,1142827
24502,33678,44,0.001306,1150757
15901,2702,251,0.092894,834255
16648,12964,1769,0.136455,638068
18452,4045,498,0.123115,707946
19608,19239,3891,0.202245,196288
18072,5515,180,0.032638,1073175
15061,10489,1516,0.144532,586284
15035,1645,149,0.090578,841473
34229,9105,24,0.002636,1142468
21042,38527,24,0.000623,1158867
17340,9740,383,0.039322,1052497
46561,11861,45,0.003794,1138543
08226,14403,85,0.005902,1135601
53538,14810,27,0.001823,1147347
46545,21025,45,0.002140,1145273
16127,10902,500,0.045863,1033025
19462,13584,1464,0.107774,763728
19056,12430,285,0.022928,1105327
46614,26661,46,0.001725,1147972
46544,26496,75,0.002831,1141376
34748,43025,28,0.000651,1158628
33913,33635,120,0.003568,1139285
33907,17483,25,0.001430,1149784
48331,20179,232,0.011497,1129668
89044,29385,26,0.000885,1155618
85268,24694,30,0.001215,1151679
34990,31018,35,0.001128,1152515
85249,38958,46,0.001181,1152122
30004,54117,23,0.000425,1160543
33952,28614,56,0.001957,1146703
27587,71824,44,0.000613,1158982
34120,40271,51,0.001266,1151175
85120,25521,58,0.002273,1144409
19078,9668,298,0.030823,1079797
17067,11082,374,0.033748,1070376
08757,36525,26,0.000712,1157874
17921,5264,149,0.028305,1089283
21702,37643,45,0.001195,1151805
49090,13470,339,0.025167,1099209
85255,43879,38,0.000866,1155862
17870,10285,244,0.023724,1103310
19446,47338,6933,0.146457,567763
54495,5745,61,0.010618,1130827
53590,35661,35,0.000981,1154531
53024,17028,99,0.005814,1135866
53511,37536,80,0.002131,1145513
54229,3831,60,0.015662,1123026
33813,33419,34,0.001017,1154051
18232,2847,270,0.094837,826083
19319,539,64,0.118738,720016
87144,38235,22,0.000575,1159497
49088,3473,116,0.033401,1070492
48178,33043,3750,0.113488,742150
48173,11945,2546,0.213144,151002
48320,3991,200,0.050113,1016567
48732,9999,1025,0.102510,793704
32259,60904,79,0.001297,1150861
28027,60060,35,0.000583,1159448
43613,26007,37,0.001423,1149860
14701,28563,25,0.000875,1155754
38017,47265,26,0.000550,1159699
32086,32652,30,0.000919,1155254
48317,23927,1241,0.051866,1013021
08012,33398,53,0.001587,1148801
34472,29161,34,0.001166,1152156
32127,29276,42,0.001435,1149724
48858,34296,631,0.018399,1117478
21703,33136,42,0.001268,1151124
44145,29842,24,0.000804,1156743
21701,36970,31,0.000839,1156289
