ZIPCODE,ZIP_TOTAL_PEOPLE,ZIP_AUDIENCE_PEOPLE,ZIP_TARGET_DENSITY,CUMULATIVE_REACH
18235,15643,794,0.050758,1003468
15022,7757,511,0.065876,946221
17552,16897,1105,0.065396,953087
18042,32235,5582,0.173166,346269
15206,25788,6310,0.244687,144392
17847,8746,346,0.039561,1040451
15367,8328,501,0.060159,970776
19464,38606,4747,0.122960,584423
17082,2408,63,0.026163,1068173
15477,570,49,0.085965,841162
17901,18167,1284,0.070678,924589
18067,16549,1464,0.088465,832977
15537,6390,138,0.021596,1073402
19136,22531,3272,0.145222,456976
17857,6086,300,0.049293,1008467
15774,2499,58,0.023209,1071829
21157,32769,26,0.000793,1093672
17872,6833,349,0.051076,1002404
17976,4169,241,0.057808,979614
18254,527,25,0.047438,1014689
19070,6021,637,0.105796,703706
16130,1516,33,0.021768,1073159
15765,1303,26,0.019954,1074549
17087,1854,49,0.026429,1067660
17959,1092,65,0.059524,972323
17047,1766,32,0.018120,1075800
15056,931,84,0.090226,818491
17070,14032,1171,0.083452,855465
16652,11751,1100,0.093609,794396
17058,1185,42,0.035443,1050825
18433,5451,435,0.079802,881538
19555,2961,132,0.044580,1022129
15675,754,48,0.063660,958526
17045,2571,80,0.031116,1059045
37211,47542,25,0.000526,1096329
17572,2221,64,0.028816,1063613
48067,23456,25,0.001066,1091354
34747,26601,32,0.001203,1090008
08046,29384,55,0.001872,1085821
20005,10214,30,0.002937,1082226
08094,36241,67,0.001849,1085951
08062,15117,31,0.002051,1084862
11237,29832,46,0.001542,1087583
08536,13942,26,0.001865,1085847
15051,345,31,0.089855,823573
08106,8601,48,0.005581,1078991
16262,2229,57,0.025572,1069634
18370,734,53,0.072207,913806
18248,359,26,0.072423,913691
16506,20150,1966,0.097568,767711
19128,31081,6970,0.224253,200427
19462,13584,1606,0.118227,625179
19056,12430,1303,0.104827,715216
19475,9662,1011,0.104637,716227
15221,27234,4842,0.177792,325375
19133,18897,3481,0.184209,308049
16112,1232,52,0.042208,1029142
19010,18450,4244,0.230027,180967
16648,12964,585,0.045125,1020958
18452,4045,394,0.097404,769102
15479,1535,71,0.046254,1017396
19608,19239,1727,0.089766,827723
16117,13207,722,0.054668,989082
17340,9740,316,0.032444,1055900
16137,9072,355,0.039131,1041554
19074,4744,461,0.097175,771097
16127,10902,515,0.047239,1015227
15061,10489,823,0.078463,888278
17061,5224,203,0.038859,1042109
08226,14403,36,0.002499,1083585
17980,2513,56,0.022284,1072454
17059,5357,154,0.028747,1064178
16878,1452,38,0.026171,1068110
15956,2199,96,0.043656,1026172
18072,5515,383,0.069447,932580
17756,9111,261,0.028647,1064652
15846,2794,113,0.040444,1037494
15035,1645,227,0.137994,490763
18709,2246,25,0.011131,1077675
15901,2702,186,0.068838,933306
90291,23146,23,0.000994,1091782
27707,39500,26,0.000658,1095038
28314,42645,21,0.000492,1096614
16738,979,33,0.033708,1053779
15076,705,42,0.059574,972107
16360,1036,34,0.032819,1055214
18054,4044,222,0.054896,988321
94122,43711,22,0.000503,1096547
02134,12073,24,0.001988,1085296
80204,30997,27,0.000871,1092966
02144,19958,39,0.001954,1085428
24060,31266,26,0.000832,1093276
02140,16399,27,0.001646,1087085
90025,32374,38,0.001174,1090181
18105,427,35,0.081967,866612
08070,11658,34,0.002916,1082281
07307,27985,21,0.000750,1094199
